avtocod;enodebid;cellid;cellname;band;azimuth;hbw;power;tilt;nc_latitude;nc_longitude;height;eventtime;neighbour;latitude;longitude;altitude;h3_15;servingcellrsrp;servingcellrsrq
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:09.088000;1;53.124775886535645;49.97976779937744;992.0;644305108415596586;-60.0;-4.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:10.908000;1;53.098275661468506;49.97324466705322;1007.0;644305110827416729;-85.0;-5.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:10:12.536000;1;53.098822832107544;49.97073411941528;957.0;644305110887622195;-111.0;-10.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:14.342000;1;53.124239444732666;49.98247146606445;992.0;644305108414648978;-59.0;-4.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:10:14.356000;1;53.0979323387146;49.970712661743164;1002.0;644305110887664833;-101.0;-9.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:10:14.934000;1;53.097792863845825;49.97013330459595;1002.0;644305110887688420;-100.0;-13.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:10:19.449000;1;53.09938073158264;49.96785879135132;1008.0;644305110887695990;-110.0;-9.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:19.473000;1;53.12396049499512;49.9838662147522;992.0;644305108414687068;-54.0;-3.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:10:20.035000;1;53.09774994850159;49.969918727874756;1001.0;644305110887634520;-92.0;-6.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:10:23.760000;1;53.09921979904175;49.96751546859741;991.0;644305110887695773;-84.0;-9.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:10:31.578000;1;53.20213079452515;50.10945796966553;0.0;644305104422520920;-80.0;-8.25
